Content,Rate
"une paella quelconque à 16,50€, un calamar à la plancha plus proche du caoutchouc à 22,50€. Un service médiocre et impossible d'avoir un ticket de caisse, le propriétaire ayant oublié son cachet et n'ayant pas de note à entête. A oublier très vite.",2
"Déjeuner sur la place en août. Le service est déplorable, les bières tièdes, la serveuse ne connaît pas ses plats. La gardianne de taureau est indigne. Les linguine au pistou se comptent à l'unité et 4 gambas se battent sur le lit de pâtes. Je...",1
C'est la première fois de ma vie que l'on me sert un café dans un gobelet en carton ailleurs que dans un fast food ! Les sièges (entre autres) sont sales. Un attrape touristes à fuir.,1
"Qu'attendent les services de l'hygiène pour fermer ce restaurant ! Chemins de table crasseux, couverts douteux, carafe sale, apéritif imbuvable,sardines de la veille recuites....néanmoins accueil très attentionné,  pour nous garder sans doute....bref après avoir dit au serveur qui a approuvé,  ce que nous en pensions...",1
"Magnifique endroit, propriétaires adorables, cocktails et Champagne de référence . Endroit vivement conseillé à l'ombre des platanes de la Place du Forum.",5
"Temps tres chaud carafe eau tiede, pression tiede, legumes servis avec le merlu courgette bouillie rechaufee dans de l huile  Tous les plats sont tres chers ex: melon jambon 15.90euros! En pleine saison du melon tout ds le meme genre pas un plat en dessous...",2
"Par grosse chaleur, une pression et un diabolo  tièdes, déjà c'est peu acceptable, à 7 euros de plus, bof bof. La deco de la terrasse est attirante mais",2
Franchement  à  éviter nous étions venu pour prendre un digestif  Accueil plutôt froid et cocktail  banal sans grande valeur  et sans grand décor  Cocktail van gogh 13€50 je vous laisse découvrir  l horreur  Franchement  arnaque à  touriste  Passer vite votre chemin à Éviter,2
"On nous appâte avec un menu à prix concurrentiel et nous promet l'offre d'un apéritif. Le prix indiqué se révèle être pour une formule entrée/plat ou plat /dessert et l'apéritif, censé être un kir, se révèle être une piquette rosée dont il est difficile de...",1
"Ce restaurant ne nous a vraiment pas satisfaits. Raccolés avec un apéritif gratuit qu'on a dû rappeler 2x au serveur avant de l'avoir (2 mini kir servis dans des verres a eau). Service très long, nous avons attendu 1h pour 2 plats du jour. La...",1
"Bonjour, tout d'abord, merci pour cette belle indigestion. Bien que la proposition de base fut très intéressante, voire alléchante, les plats n'ont fait que contrarier mon invitée et moi meme. Un carpaccio se cuisine avec de la viande fraiche pas congelée... Ce restaurant est tout...",1
Tout le monde a pu manger à  son goût pour une somme raisonnable. Personnel souriant. On se croit dans le tableau de van gogh,4
Un service déplorable  le serveur nous as fait attendre 20 minutes avant de venir vers nous sangria a l'eau paiella aux fruits de mer mais sans les fruits de mer quasiment que du riz mais addition très chère nous sommes allez prendre le desert ailleurs...,1
"Coca coupé à l'eau, vin blanc chaud, paella brûlée et pimentée avec excès: rajout de cafés non consommés sur la note pour parfaire le tout !😁 à éviter à tout prix",1
Nous sommes juste passé devant cependant je tiens à signaler que la rabatteuse (personne à l'entrée de la terrasse qui vient vous aguicher pour vous entrer) fume sa petite cigarette dans sa main droite et tient les cartes dans la gauche. Cela a 22h (en...,1
"J'ai du changer 3 fois de plats car ils ne les avaient plus, on nous avait promis qu'il y avait un apéro gratuit aujourd'hui biensur ce n'était que pour nous faire entrer dans le restaurant, la salle intérieur puait la fumée de clope et le...",1
"Leur spécialité la paella trop épicée . 4 moules soit non ouvertes soit sèches , 1 langoustine trop cuite . Le comble au moment de l addition .. ""Nous sommes désolés , notre lecteur de carte bleue ne marche pas , pb de wifi ..,...",1
"Nous nous installons à 15.00, horaires quasi-normal pour des festivaliers. L'accueil est souriant et les prix honnêtes pour l'endroit -16 et 18€ pour des linguines saumon / gambas. Ce qui est plutôt moyen c'est de ne plus avoir de glaçons à cette heure (et de...",3
"On s'est arrété pour le prix, mais le service et la qualité très médiocre, les patronnes sont assises en arrière plan à surveiller le tiroir caisse mais ne donnent aucun coup de mains à la serveuse qui essaie de faire de son mieux, nous étions...",2
La paella est ultra épicée et les plats des enfants plein d'eau ! Il vaut mieux s'arrêter à l'apéritif et ne pas tenter le repas !,1
Un personnel racoleur pour des prix excessif  ( à ce niveau là c'est du vol) et une qualité exécrable. A fuir.,1
Une nourriture banale mais un accueil sympathique . Un sourire a suffi pour se voir offert l aperitif .....et ce n est pas rien de se retrouver dans un tableau de Van Gogh,3
Nous avons voulu manger en famille... belle erreur... les repas pour enfants tiède et sans saveurs.... et pour nous la daube de taureau trempée dans l'huile... les sardines immangeables... les accompagnements douteusement épicés.... et quand vous faites des réclamations au patron c'est comme si vous...,1
"Racolage normalement interdit  couvert sales assiettes ébréchées , paella qui arrive prête dehors sur le trottoir non maintenue au chaud qui y reste 2 heures facilement nos plats sont arrivés froid le comble en fin de repas on vous annonce que le réseau carte bleu...",1
"Très fortement déconseillé ! La nourriture est très très moyenne et tous les plats sont noyés de persil, ça en devient quasiment immangeable !  Pour finir au moment de payer, on nous dit que la CB ne marche pas bien et qu'il vaut mieux aller...",1
"Cher , pas de tarif affiché, un Perrier tranche et un diabolo menthe à 13€ le tout !!! Attente très longue pas assez de serveur pour cette grande terrasse . Vraiment pas recommandable tout est dans le lieu. Prendre une simple photo et à fuir.",1
"Sur cette place vous trouverez mieux. Service peu aimable, et long. Produits surgelés. Prix trop élevés  Et bien entendu ils ne prennent pas la carte bleue !  Bref à éviter",3
"alors la , je suis outrer de voir que l'on puisse servir une paella qui a tourné !! le riz collant mélanger avec du riz remis par dessus même pas cuit !!!!  y nous prennent pour des poubelles ou quoi !!! le service d'hygiène ferai...",1
1 verre de blanc sans dénomination servi avec glaçon  1 pinte de bière servi chaude sans marque machine CB en panne ou non dispo pour les boisson 11 €  l'ensemble Toilette sale  Personnel de service sans aucune formation  ......,1
"Café a ne pas aller car j'y suis aller avec des amis , consommation d'une boisson trop cher , vous payer a la taille du verre ( petit 4.50, moyens 6.50 et grand 12.50) que vous prenez un coca ou autre chose  Café a ne...",1
A éviter pas terrible bien d autres bien plus meilleur . Service disparate qualité des plats trais moyennes  je ne le conseille pas .,1
"C'est pourtant pas si compliqué de faire une salade de chèvres chauds qui a du goût ! Donc clairement, la volonté ici c'est de faire du fric avec des produits bas de gamme : de la vinaigrette sans doute industrielle tout comme le chèvre d'ailleurs....",2
"Nous sommes extrêmement déçu de ce restaurant. Pas de pain service à table, pas de carafe d'eau, verre pas lavé, plats infâmes, patronne très désagréable qui s'en prend à ses serveurs et rejeté la faute sur eux alors qu'ils n'ont rien à se reprocher. N'assume...",1
"Une attente interminable, des plats sans qualite'  (salades préparées) et donc un rapport qualité prix extravagant, des serveurs qui passent leur temps a' se disputer et s invectiver, et si vous avez le malheur de demander une légère remise pour ce qui précède, l'un des...",1
Arrivé  20h  prise  de commande a 20h30 sangria  deguelasse  paiella  aux  fruits  de mer moi une gambas  mon mari rien  4 moules  dont 3 pas ouverte mais  beaucoup  de riz  infâme  les serveurs  complètement  perdus  une dame de l'établissement  avec  un serveur se prenait  par...,1
"boisson prise en terrasse, commande d'un vittel sirop, servi une bouteille Evian en plastique avec un sirop sans goût, idem pour une commande Perrier citron, servi sans la bouteille et pas du tout des bulles de Perrier...! Bar à éviter...!!!!",1
"Fuyez ce resto:-(. On nous annonce un menu enfant, donc à la fin on demande le dessert : non compris car c est juste le plat + un sirop! Menu adulte idem : à la fin du repas on apprend que le plat n'était pas...",1
"""Souvent il me semble que la nuit est bien plus vivante et richement colorée que le jour"" Van Gogh le dit ! C'est tout à fait vrai pour cet endroit dont la saleté repoussante serait atténuée. À ne voir que la nuit ! Surtout ne...",1
On s'est fait arpaguer devant le restaurant On aurait mieux fait de passer notre chemin. Comme je l'ai dit au responsable c'est un attrape touriste   et ils prennent les gens pour des pigeons la nourriture est dégueulasse il n'y a pas d'autres mots et encore...,1
"Surtout, passez votre chemin et n'y entrez pas. Des vrais arnaqueurs, et ce ne sont pas des touristes qui vous parlent, mais des gens de la région. On attend le pain, on vous sert un vin blanc chaud, sans glace. Le repas est ""dégueulasse"". L'accueil...",1
Petit dej pas donné et moins généreuxpar rapport aux autres cafés de la place  Il a fallu réclamer pour avoir le jus d'Orange (debat pour savoir si compris ou pas compris dans le prix),2
"Une bière médiocre et tiède,un orangina sortant probablement d'une bouteille de 2 litres et dilué dans des glaçons , une limonade idem. Le tout pour 19,50€ non réglable par CB la machine a CB étant en panne.... Nous sommes évidemment aller manger ailleurs craignant le...",1
"Si vous voulez dîner, arrivez à 13h, commandez et revenez à 20h, votre plat sera peut-être prêt... Si vous y allez en compagnie prévoyez des activités récréatives pour les uns et les autres car vous ne mangerez pas tous en même temps...",1
Passer votre chemin. C'est une honte pour la restauration française. Strictement rien de positif à signaler..,1
"Paëlla très douteuse. Odeur fétide. Nous aurions dû refuser tout simplement les assiettes.  II faudrait impérativement que le service d'hygiène passe faire une enquête. Couverts et tables pas  propres.   De plus, il a fallu demander au serveur pour qu'il daigne nettoyer la table et changer...",2
Très très décevant. Nourriture pas bonne malgré un jolie cadre et un bon acceuil. Juste à regarder. Nous avons pris une paella soi disant d'aujourd'hui mais vu le goût elle ne doit pas dater d'aujourd'hui,1
"Bière et Monaco chaudes.... Ma bière était en bouteille (sauvé!) , par contre ma femme avait un Monaco sans bière clairement et pas bon du tout.   Coca pour les enfants servis dans de grands verres à moitié plein de glaçons (économie de coca...) et servis...",1
"Ne pas entrer dans ce piège à touristes, le service est non professionnel, ne prenne jamais la carte bleue pour se mettre l'argent liquide dans la poche! La tendue ne fonctionne pas l'éclairage non plus qu'elle mauvaise image de la restauration française ! Et la...",1
"Le nom et l'emplacement vous ferons envie, mais passez votre chemin ! Cela partait bien, car le serveur débutant faisait de son mieux et malgré notre commentaire dissuasif ici, la paella était goûteuse. Mais la suite fut déplaisante, lorsqu'en cette journée caniculaire, la patronne fit...",1
"Lieu universellement connu grâce au tableau homonyme. La terrasse est toujours la avec le vestige aérien des crypto portiques bien en vue en face.  Accueil Sympathique, cuisine simple - présence d'un Remarquable chien  On aurait aprecie en ce lieu une prestation un peu plus haut...",3
"ce jour là paella à petit prix, on mange presque à toute heure, accueil sympathique, l'endroit a pas beaucoup changé depuis l'époque où Vincent Van gogh l'a peint de nuit",3
Accueil: excellent  Emplacement  : centré sur place du forum  Espace intérieur : correct  Terrasse : jaune  et van goghienne Atmosphère : agréable et historique  Vue : sympa sur place  Parking: public payant à 500 m Wifi et journaux non disponibles contre toute attente !!! Choix...,3
Attrape touriste nourriture avariée service désastreux très cher j'ai était malade toute la journée passer votre chemin,1
Service deplorable. Soda au verre pas frais. Frites froides . Salade de chevre inmangeable. Et pour couronner le tout pas possible de payer enCB . En insistant ils m'ont emmené dans un endroit discret pour payer avec la cb! Des voyous! Passez votre chemin....,1
"Service médiocre, le serveur n'a pas voulu nous donner la carte du  demandé d'aller choisir les plats sur la carte de l'entrée. Les verres et couverts étaient sales. Le set de table jaune a l'origine tire sur le gris fonçé, voir le noir et n'a...",1
"Cher et pas bon du tout ! Le soda à 6,50 euro dans un verre et même pas frais. Les pâtes réchauffées au micro-ondes, aucun goût ! Des gambas naines ( zut c'était des crevettes) et le pompon : l'addition avec des boissons comptées en...",1
C'est la plus mauvaise adresse d'Arles. C'est du surgelé ou de la conserve et les serveurs sont tellement débordé qu'ils ne regarde même pas le client.,1
"accueil déplorable...on est attiré par une paella géante aguicheuse mais tout à fait médiocre aux papilles, le personnel est au mieux indifférent(voire dépassé vue la pression qu'on leur met), au pire(les patrons à mon avis)franchement odieux.Pas de CB autorisée, on vous le signale très peu...",1
"Paella royale, sans chorizo, sans calamars, sans encornets etc.. 1 gambas 1 haut de poulet 4 moules, le safran je ne sais ou il était !!!!! mais comme par hasard avec tout ce tourisme la CB en panne, il faut deviner ou est cette information........",1
"Horrible fuyez vite ce lieu qui n est pas digne d avoir pignon sur rue.... Consommations hors de prix, servies au verre donc vous ne voyez pas ce qui y est mis!!!! Exemple un Perrier 6€50 !!! Le verre ! Service nul, hygiène nul .......",1
"En terrasse depuis 20 minutes. Deux petites jeunes nous regarde sans venir, Nous appelons pour être servit , on passe commande mais la serveuse ne connaît pas la carte, on prend à L aveugle. Puis au retour il n y a plus de sirop, que...",1
"Rosé tiède ! et quand vous demandez des glaçons, ils vous en amènent un verre pour rallonger votre rosé ! Ils servent des tomates qu'il nomment provençales mais qui n'ont de provençal que le nom (et nous sommes à Arles !!!). en fait, ils servent...",1
Très bon accueil. Les tarifs sont plus que raisonnables. Sans être un resto gastronomique on y mange bien et pour pas cher!,4
"6€50 le coca, 6€50 une mauvaise limonade, 6€50 un panaché chaud et fade, 6€50 un mauvais monaco imbuvable échangé par un icetea pas meilleur. serveuse nulle, établissement sale à l'intérieur, obligé d'insister pour avoir une note détaillée",1
"Délit de faciès, délit de racisme , Vous n'entrez pas si vous ne plaisez pas ! Si C est une boisson , C est derrière les cuisines , Un plat , a côté de la caisse enregistreuse. Tout est mal aimable , mal faisan !...",1
Repas sans saveur. Note ne correspondant pas aux consommation. Paella insipide. Desserts industriels Pauvres touristes...,1
"Véritable arnaque que ce café qui propose un verre de perrier citron à 6.50 euros !plainte directe à la répression des fraudes. Si vous voulez passer un agréable séjour dans cette belle ville d Arles, établissement à fuir",2
"Nous pensions faire une halte agréable dans ce café mythique arlésien, celui de Van Gogh, déception avérée. Amabilité à revoir, prix exorbitant, sanitaires sales : hygiène douteuse. Oubliez le café frappé, servi comme un vulgaire café froid avec un glaçon. Attrape touriste, À FUIR !",1
Restauration de cantine à prix fort(très fort). Ce genre d établissement fait de l m'ont à votre profession chers restaurateurs.... À éviter à tout prix,1
"La façade et le bâtiment valent le détour.  Mais pas la peine de s'arrêter y consommer une boisson. 6€ pour un coca servi directement dans le verre avec de l'eau et des glaçons en pagaille. La terrasse, le mobilier et l'intérieur sont sales et usé....",2
"Posé comme un furoncle au milieu de la place du forum ... le piège à touristes par exellence !... accueil déplorable , servi dans des verres sales , tarifs exorbitants ! vous aurez ensuite le privilège de vous faire arnaquer sur le rendu de monnaie...",1
"On pourrait croire à une très mauvaise plaisanterie, à une ""caméra cachée"" type ""Surprise sur prise"". On se demande comment le Service des fraudes et de la Consommation peut laisser un endroit pareil ouvert un établissement pareil ! Nous y sommes allés pour boire un...",1
"Serveur impoli et désobligeant, repas et boisson beaucoup trop cher pour la qualité des prestations. Un endroit à éviter, en tout moi il ne me reverrons plus.",1
un endroit à éviter à tout prix. ils jouent tout sur la célébrité du lieu. mal entretenu voir délabré par endroits. service exécrable. nourriture de mauvaise qualité (danger!). à éviter meme pour un café au lait ou un apéritif...,1
"j'habite Arles depuis quelques années et je décide de voir un match dans ce bar. quel erreur , j'aurais dû me casser une cheville. soirée en famille foot gâchée par de la bière chaude et les autres boissons pas mieux. La tenancière dis à la...",1
"Attention, piège à touristes  Accueil, service et nourriture déplorables et indigne du lieu !  A fuir absolument  . ....................................................................",1
"Lamentable, horrible, bouffe immangeable, patron violent : insultes qui c'est terminée par des coups.  Franchement HORRIBLE!!",1
"Très mauvais service, cuisine à peine médiocre, déserts à éviter ! Nous avons même été obligées  de réclamer des petites cuillères pour manger notre ""désert""! La table jamais  débarrassée d'un plat à l'autre . Lamentable . Ils n'annoncent même pas au départ que la carte...",1
Nous nous sommes fait racolle lorsque nous consultions la carte et avons cédés ...quelle erreur Des verres dégelasse . Pas de poisson du jour...des gambas réserves à la paella... Nous prenons entrecôte et paella...l'entrecote vulgaire steak à 22€ tout de même ...la paella cuite et...,1
"Serveurs incompétents, nourriture immangeable, chiens présents dans l'établissement, repas réchauffés",1
"Nous y sommes allés pour boire l apéritif nous étions 6 (4 adultes et 2 enfants ) nous avons pris un sirop menthe, un jus d orange,un muscat, une boisson anisé ,un rosé et un whisky le tout pour écoutez moi bien 35€ oui oui...",1
"en groupe, bon accueil et repas qui sans être gastronomique est fort convenable! bien situé, décor sympa et personnel accueillant, nous sommes loin de tous ces messages lus et de ce que nous avons entendu nous sommes dans une cité où le nombre de restaurants...",3
Nous sommes allés au marché de Arles le samedi 9 avril 2016 de là nous allons sur cette place et nous  nous sommes fait avoir nous avons commandé soit disant une paëlla qui était que du riz au moins 300g avec 2 gambas mi crus...,1
"Nous nous sommes rendus dans ce ""restaurant"", il est vrai un peu à l'aveuglette, grand mal nous en a pris... Plats de piètre qualité, gras et très mal présentés, on peut s'attendre à autre chose par rapport au prix payé. Et cerise sur le gâteau...",1
Un plat de pâtes correct sans plus à 14 euros pour un midi. On se dit que c'est un piège à touristes tout de même.  Dommage car le cadre est sympa. On s'attend à mieux... En effet ce resto n'est pas à la hauteur du...,2
"La nuit ? Difficile de trouver un meilleur nom pour mieux résumer cet établissement. Service plus que poussif, très long (sans excuses pour le temps d'attente), nourriture médiocre. Nous espérons qu'il ne s'agissait que d'une erreur passagère et que le restaurant saura prendre les mesures...",1
"Nous confirmons les avis négatifs sur cet ""endroit"". Comme il faisait venteux nous avons préféré manger dedans. Tout est sale : sol, siège, table et couverts. Une catastrophe. A part un serveur le personnel est dédaigneux et antipathique. Le plat de poisson beaucoup trop cher...",1
Nous y sommes allés week-end de feria donc  On  se doutait qu on allait attendre mais 40 minutes c est beaucoup surtout que d autres tables étaient  servies avant nous bien que les gens soient arrivés Apres nous .  Paella limite cuite avec beaucoup de...,1
"Un véritable scandale ! Nous étions venus pour la feria et nous sommes allés dans ce restaurant, attiré par la belle paella qui cuisait à l'entrée... Nous avons été placé au fin fond du restaurant au 1er étage, dans une salle sombre et étouffante... Aucune...",1
Nous sommes entrés là trop précipitemment un soir de feria attirés par la paëlla qui cuisait dans une grande poèlle à l'exterieur(tout au loins on a cru qu'elle cuisait...) et par une plutôt sympathique demoiselle qui nous a accostés. Pour ce qui est de la...,2
"C'est un telle honte au niveau déco, (le terme à vomir se justifie pleinement ici) que l'on y a pris qu'un thé au lait et une gaufre. Je crois que Van Gogh se retourne dans sa tombe, on a pas le droit de massacrer ainsi...",2
Tous les restaurants de la place étant fermés nous avons atteri dans cet attrape touriste. C'est certainement le pire restaurant que j'ai fais : le resto était au 3/4 vide et 2 couples sont partis avant d'être servis tellement l'attente était longue et le service...,1
Service affreux(étant les seuls clients la serveuse à mis 35 min à nous servir des cafés et mojitos (immondes et excessivement chers) La serveuse insulte d'autres clients parce qu'ils demandaient du citron La serveuse se permet de nous rabaisser alors que nous sommes des clients...,1
"c'est abérant comme le service est médiocre, j'ai pris une paëlla, j'avais un morceau de poulet déjà croquer et par la suite j'ai remarqué que les assiettes non vide sont vidée dans le plat, pas hygiénique du tout",1
Nous avons visité Arles le 1er janvier 2016. Le café la nuit était un des seuls endroit ouvert. Nous avons commandé un coca et un café pour faire une petite pause. Le coca n'était même pas en bouteille et nous avons été facturé 9€ pour...,1
"Surtout à éviter ... Le serveur, suffisant, vous prend pour des imbéciles ... Il joue son rôle ... Celui de faire tampon entre des clients mécontents et un cuisinier dont les compétences s'arrêtent à la manipulation d'un micro onde ... Même les boissons sont immondes....",1
"Seul Resto ouvert le soir de Noel, je m y suis rendu avec à ma fille. A l intérieur le cadre est vieux et moche. Le serveur totalement incompétent mais serviable nous a servi un menu de Noel très  cher et mal préparé. 4 crevettes...",1
"J.ai eu le tort d'arriver en voyant l'arrière d'abord ...donc je n'y suis pas allé ... Et , cela s'est vérifié durant tout mon séjour",1
"Plats surgelés vu l'énorme choix des plats, c'est un véritable attrape touriste vu son emplacement. Le seul point positif est sa ressemblance avec le tableau de Van gogh.",1
"Comment rater une salade composée? c'est pourtant le cas dans ce restaurant ""attrape-touristes"" d'Arles, certes charmant côté déco ( les toilettes sont le seul point positif de cet endroit!!) nous étions en terrasse, contiguë à celles des autres restos de la place , le serveur...",2
"Nous aussi on s'est laisse pieger par le nom et la couleur jaune de la façade ! Le service est lamentable des serveurs incompétents, la paëlla limite fraîche. On nous a servi dans les assiettes qui étaient déjà sur la table pleine de poussière vu...",1
"Service lamentable, plats inmangeables et froids, hygiène douteuse, prix exorbitants pour la qualité .... A FUIR Une image déplorable de notre pays et sa gastronomie pour les touristes passés par là ....",1
"Ils surfent sur la tableau de van gogh, mais c'est loin d'être bon et loin d'être frais et d'être authentique",1
"Sèche à la plancha mal cuite, énorme  et mal préparée, servie dans un bain d huile avec des légumes  aigres  qui avaient visiblement tourné. Le garçon est venu voir si tout se passait  bien en voyant nos assiettes  quasi intactes, nous lui avons dit que...",1
"Deux personnes, une formules entrée/plat/dessert pour 14.50 € et un plat à 18.50 € : c'est correct Mon entrée, le plat de mon épouse (et les consos) arrivent : très bien servis, énormes, copieux et excellents au goût. Je décommande la plat principal car la...",4
a évité fortement  cher et pas bon du tout  (juste bon pour prendre des photos)  je déconseille a toutes personnes de s'y arrêter vous trouverez largement mieux plus loin la place du forum et les rues adjacente ne manque pas de bonnes adresses,1
"Mauvaise cuisine, serveurs désagréables. Plat commandé non servi mais facturé !!! Tout semble surgelé/réchauffé . La note est salée (sauces et accompagnements en supplément !!!). La façade attire l’œil, c'est la seule qualité de cet établissement, prenez une photo et allez manger ailleurs...",1
"Désolant ,le piège à touristes parfait , la paella (inscrite aux spécialités) avait été réchauffée sûrement 2000 fois :immangeable ! Le seul point positif c'est que l'on fait des connaissances avec ses voisins tous d'accord sur la médiocrité de l'endroit ! On nous a même...",1
"Des boissons en terrasse bien fades...Au gout très dilué..(à l'eau sans bulles). 2 Ice tea,1 coka,1 orangina; toutes coupées à l'eau! Après réclamation, nous avons vu les ""vrais boissons"" arriver. La facture annoncée de 24€ est passée à 20€ après réclamation du ticket!",1
"Je rejoins tous les avis : une belle arnaque.... Les tomates ont perdus de leur couleur, le filet de poulet dans la salade césar n avait pas fier allure et au moment de l'addition je découvre que l eau dans cet établissement est a un...",2
"On se doutait que cela n'allait pas etre terrible mais là c'est largement le plus mauvais resto que nous n'ayons jamais fait sur terre et ailleurs. Tarifs honteux et cachés, service incroyablement lent et nourriture horrible. L'enfer. Je vais me couper l'oreille et en finir...",1
Nous sommes aller prendre une limonade à la terrasse sans vérifier au préalable le prix des consommations (erreur fatale !). Il s'est passé dix minutes avant qu'une serveuse vienne prendre la commande ? Puis encore dix minutes pour que nos boissons arrivent ? Puis toujours...,1
"Trop cher pour ce que ça vaut! Très déçue.. C est vraiment dommage, car c'est comme même toute une histoire ce café!! Les propriétaires devraient faire beaucoup mieux!",1
"Service très long, personnel manquant de professionnalisme! Nourriture sans saveur sans gout; aucun raffinement! De la viande de toro qui n'en est pas! Plats chers pour ce que nous avons mangé! Et pr  couronner le tout : au passage à la caisse : CB en...",1
"Nourriture tiède et mal cuite Malheureusement ce bar restaurant est bien situé, la terrasse agréable, et donc les clients continuent d'y aller en dépit des 275 avis défavorables! Que faut il faire pour que les gérants changent de cuisinier!",1
"Nous n'avons prit que des verres mais ils ont tous été une déception. Déjà plus de Cuba libre, ensuite un mojito avec des citrons jaunes et de la menthe en fin de vie, un Monaco sans vraiment de grenadine, une margarita juste inbuvable et un...",1
"Attrape touriste sans aucun intérêt. Service prétentieux, insupportable et indélicat. Même pour une consommation: préférez n'importe quelle autre terrasse de la place.",1
"De la cuisine à l'hygiène douteuse, et au repas dont un douter de la fraîcheur des produits et que penser de ses poissons exposés en terrasse sur une plaque réfrigérée qui devient rapidement le royaume des mouches ! Quand au repas il a été réellement...",1
"Quand les restaurateurs auront-ils enfin compris qu'il faut arrêter de prendre les clients pour des imbéciles ? Après ce sont les premiers à se plaindre de la baisse du CA et des clients qu'on tente de séduire en les arrêtant sur leur passage.  vulgaire,...",1
"Fuyez ce bar qui n'en est pas un... et encore moins un resto.... 50cl d'eau minérale (en plastique) à 4,5 euros... quand il fait 35° à l'ombre...",1
"Un des endroits les plus visités, pour sa présence sur un tableau de Van Gogh, et pourtant le pire restaurant d'Arles! C'est vraiment ce que l'on peut appeler un ""tourist trap"", piège à touristes. Mauvais service, mauvaise nourriture, prix élevés. A venir photographier puis aller...",1
"Restaurant à éviter! Repas froid et Sans goût ,et personnel  que méprisant avec essai d'arnaque sur l'addition.",1
"Une honte dans un pays de gastronomie ! Ce restaurant s'appelle différemment en fonction de l'angle de vue : Café de la Nuit ou Café de Van Gogh. Le ticket de carte bancaire est au nom du Café de Van Gogh. A table, seule la...",1
Ce que l on peut trouver de pire en terme de restauration !...une de ces grosses boites qui attendent patiemment la période estivale et l arrivée du touriste naif et argenté !...c est donc avec l impression d avoir été pris pour  une vache à...,2
quelle surprise sur le repas la daube servie avec des légumes et les pates sont ou ? jamais vu ca ensuite la salade de chèvres horreur 3 croutons grillés et des croutes de   chèvres dessus la décorations est belle le repas non !! je ne...,2
"Heureusement que le cadre, la place du forum et la belle journée ont rattrapé ce déjeuner.  Service extrêmement long.  Paella chère pour ce que c'était.  Coca cola servi au verre... Boisson gazeuse servie en bouteille plastique... Café infâme.  Et pour clôturer la machine a carte...",1
Cuisine médiocre et sans intérêt. Ne pas prendre la bouillabaisse. Erreur sur les notes des deux tables voisines (des étrangers comme par hasard). Demande à une à autre table de régler en espèces sous prétexte de panne de machine alors que 20 minutes plus tard...,1
"C'est tout juste si l'on ne nous a pas servi un bout de l'oreille de Van Gogh.... L'Établissement (si tant est que ce taudis mérite ce nom) jouit de la popularité du lieu et d'avoir été peint par VvG. Pour le reste, c'est innommable, à...",1
Nul nul et nul. Aucun respect  pour  la clientèle. Tout ce que je  souhaite  c'est la fermeture  pour  cette  équipe. Il n'y a pas de mots assez  fort  pour  mettre mon mépris. Même  le caissier fume  à  l'intérieur  à  côté  des clients  où  se trouve...,1
"La honte du tourisme à la française. Sans grand espoir et après un racolage pathétique, nous nous sommes installés pour le lieu et parce que nous n'avions pas le temps de chercher, la place est agréable, la devanture plutôt jolie malgré les rabatteurs plus nombreux...",1
"Etablissement d'aspect attrayant, serveuse qui attire le client en proposant l'aperitif offert (foutaise, bien verifier la facture) le personnel boit et fume devant les clients à l'interieur de la salle se qui est interdit en France. Chemin de table trés sale(tache de gras, tache noir...",1
nous y avons mangé en famille  le serveur zero car ne connait même pas les accompagnements des plats!    filet de poisson avec arêtes   1er couac: problème avec la salade de chevre chaud que le serveur propose de servir après le plat principal! la gardiane de...,1
"Service plus que moyen, plats acceptables, sans plus. Tout se joue sur le cadre, la place du forum.  Pour le reste, alimentaire. Sans plus.",3
"C'est un restaurant, heu comment dire ""pièges à touristes!"" il n'y a que l'emplacement qui est correcte, le reste à FUIR, limite escroquerie, une bouteille cote du Rhone facturée 22€ alors que meme pas 2€ en grande surface, côte de taureau, gros doute au vu...",1
Nous avons pris un verre durant la féria... aucun tarif affiché. Table sale avec grain de riz safrané... après un quart d'heure d'attente arrive notre coca zéro servi dans un verre de babies sans bouteille et une san peligrino dans une bouteille en plastique.  LE...,1
"Un conseil, passer votre chemin.  J'adore aller au restaurant et c'est vraiment bien la première fois que je suis autant déçue que ça soit par le service, limite familier , un peu "" je m'en foutiste "" , les prix ( super cher ) et...",1
"je ne comprends pas que cet établissement soit encore autorisé à servir des choses qui se retrouvent dans l'estomac des gens. Sale, service mensonger voire arnaqueur, produits au mieux insipides, au pire avariés, racolage pour trouver des gogos dans la rue. Bref : horrible. Si...",1
Trouvant une blatte sur la banquette rouge ça aurait dû nous mettre la puce à l'oreille. Cela montre une hygiène douteuse.Ensuite parlons des plats une note de 53euros pour 2 menus comportant de la daube de taureau(absolument infecte)  additionné de pâtes à moitié froide.Ne parlons...,1
"Nous y sommes allés le 25 décembre au soir pour dîner en famille. Accueil moyen, tables non préparées... Service moyen, plats horribles! Plats servis quasiment froids! Produits décongelés! Obliger de faire un retour cuisine pour le faire chauffer! 2 personnes malades... Pour 4 plats avec...",1
"S’asseoir juste pour siroter une limonade ou pire, pour dîner : le résultat sera le même (j'ai vécu les deux... A savoir une propreté douteuse, une fraîcheur douteuse, une addition si exorbitante qu'elle aussi en parait douteuse. Si vous avez la malchance de passer par...",1
